Date,S&P500,NASDAQ100,DJINDUS,SPTSX60,DJESTOXX50,SMI,FTSE100,OMX,DAX30,ATX,CAC40,IBEX 35,SPASX200,HANGSENG,MSCISING,Nikkei
12/31/1992,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1/29/1993,100.84,102.94,100.34,98.34,101.03,99.25,98.78,96.93,101.73,103.17,95.43,108.99,98.20,104.36,101.01,100.59
2/26/1993,102.21,97.69,102.67,102.71,109.29,99.64,101.03,108.00,109.02,111.96,106.85,111.37,103.55,115.35,102.08,100.17
3/31/1993,104.37,100.06,104.82,106.13,110.74,104.00,102.51,106.73,109.01,104.14,109.45,114.95,107.02,116.12,102.25,109.87
4/30/1993,101.84,94.71,104.64,112.46,108.42,101.43,100.45,112.67,105.32,102.26,104.53,116.52,107.70,125.38,107.74,123.63
5/31/1993,104.57,102.70,108.21,114.65,109.60,109.07,101.85,126.20,105.62,106.86,101.94,122.47,111.04,135.77,113.43,121.46
6/30/1993,104.87,102.21,108.05,115.33,114.56,115.15,104.16,124.81,109.88,114.70,108.39,124.63,110.86,131.16,110.21,115.79
7/30/1993,104.45,98.58,108.84,115.41,123.05,116.33,105.33,138.22,116.71,127.82,115.91,131.78,117.41,129.13,110.65,120.46
8/31/1993,108.42,104.25,112.80,119.13,131.68,120.65,112.13,147.93,125.88,136.65,123.17,148.65,125.37,139.57,127.22,124.28
9/30/1993,107.58,107.12,110.01,114.41,128.43,119.83,110.45,149.14,123.99,129.75,117.51,140.58,122.69,142.89,130.26,118.93
10/29/1993,109.81,109.50,113.95,123.13,135.85,131.94,115.56,164.68,133.91,146.34,121.25,153.12,132.33,174.21,144.04,116.55
11/30/1993,108.76,108.47,114.58,121.77,132.63,132.68,115.66,150.15,133.18,142.43,117.29,145.71,124.86,170.86,136.01,97.05
12/31/1993,110.08,111.77,116.95,126.52,143.57,143.32,125.19,162.63,146.71,152.37,126.08,161.24,135.08,223.09,168.06,103.03
1/31/1994,113.82,116.19,124.04,134.40,145.99,154.02,128.00,182.35,140.93,164.06,129.79,178.71,143.44,215.59,157.03,119.66
2/28/1994,110.73,115.75,119.95,129.91,139.94,139.96,122.36,174.10,135.37,156.44,124.45,168.42,134.98,195.49,149.04,118.29
3/31/1994,105.90,107.57,114.01,126.29,137.08,135.51,114.26,158.31,138.06,151.44,115.80,157.16,126.55,169.81,133.47,113.06
4/29/1994,107.26,104.87,115.52,124.78,143.55,133.21,116.08,169.69,145.37,147.52,120.54,159.02,128.09,168.97,151.63,116.69
5/31/1994,109.02,106.51,118.45,127.31,137.95,133.89,110.54,175.85,137.71,140.80,113.30,158.89,129.17,180.17,152.85,124.08
6/30/1994,106.35,101.33,114.44,118.51,131.12,128.97,109.15,164.57,131.09,143.09,107.36,145.11,123.42,165.19,146.37,122.14
7/29/1994,109.84,104.13,118.94,123.61,140.85,127.56,115.67,176.63,138.94,145.79,118.94,154.44,128.04,178.86,151.82,120.99
8/31/1994,114.35,111.95,124.19,129.59,143.40,130.83,122.48,175.92,143.22,154.98,118.60,153.29,131.90,187.38,159.53,122.05
9/30/1994,111.55,110.81,122.19,129.34,133.97,125.33,114.60,170.34,130.21,144.76,107.72,145.93,125.76,180.45,162.42,116.00
