,Switzerland,Germany,UK,Sweden,Norway,France,Italy,Spain,Netherlands,Austria
12/31/1999,109.43,2135.11,131.74,211.57,155.14,5643.25,3109.62,5675.74,6314.02,939.18
1/31/2000,99.84,2111.96,122.61,218.41,146.31,5400.34,3023.39,5364.87,5698.98,878.22
2/29/2000,99.24,2370.98,120.66,272.79,148.95,5980.98,3449.21,5998.19,6163.3,851.36
3/31/2000,107.96,2347.78,130.34,261.06,151.13,6084.59,3253.14,6025.84,6385.1,878.59
4/28/2000,109.52,2252.62,131.16,271.42,149.41,6180.32,3194.4,5872.6,6483.61,874.81
5/31/2000,113.57,2145.22,124.53,254.99,152.92,6237.46,3277.7,5600.09,6544.6,890.37
6/30/2000,114.15,2070.13,121.6,242.8,160.27,6264.54,3387.99,5569.98,6685.88,891.03
7/31/2000,118.52,2134.13,126.65,242.35,164.13,6376.74,3359.15,5612.47,6618.43,921.86
8/31/2000,120.79,2122.67,133.4,249.61,181.39,6486.22,3456.7,5736.2,6889.6,934.44
9/29/2000,115.04,2027.49,130.72,218.71,179.06,6120.05,3281.45,5838.66,6676.1,946.5
10/31/2000,120.86,2126.87,137.06,212.45,181.51,6220.99,3498.81,5633.85,6896.52,932.16
11/30/2000,122.66,1919.45,125.6,186.59,170.39,5777.5,3474.36,5089.3,6662.24,873.48
12/29/2000,124.28,1931.56,124.43,178.43,165.01,5780.3,3292.78,5118.16,6495.56,887.77
1/31/2001,122.81,2022.8,123.55,194.15,169.53,5847.23,3382.34,5663.77,6513.43,922.76
2/28/2001,115.99,1880.14,116.67,164.38,168.62,5250.59,3076.87,5403.13,6158.82,993.77
3/30/2001,108.93,1751.33,115.89,132.98,161.54,5082.23,2999.27,5307.78,5829.18,984.89
4/30/2001,111.54,1869.2,122.81,152.96,173.49,5523.25,3156.41,5554.33,6226.72,1005
5/31/2001,115.31,1834.74,124.18,151.23,180.61,5414.12,3023.22,5418.27,6274.83,991.43
6/29/2001,110.67,1827.17,120.09,143.18,174.53,5223.23,2908.03,5041.59,6134.34,969.64
7/31/2001,106.05,1776.05,116.31,139.75,167.24,5078.8,2873.82,4865.89,5884.33,1006.18
8/31/2001,102.05,1588.82,110.97,127.01,158.75,4724.79,2739.75,4767.98,5648.77,973.9
9/28/2001,97.09,1327.28,103.4,106.24,134.89,4161.76,2356.21,4214.39,4883.57,879.84
10/31/2001,98.08,1401.03,106.57,115.6,138.26,4418.94,2458.35,4456.88,4954.33,828.54
11/30/2001,100.81,1533.12,109.54,133.31,145.81,4576.38,2518.95,4782.9,5206.19,874.63
12/31/2001,103.42,1588.73,112.77,137.79,153.64,4748.47,2565.75,4802.6,5368.3,888.84
1/31/2002,101.03,1568.88,111.71,128.94,152.83,4599.47,2559.48,4596.82,5335.75,922.55
2/28/2002,103.45,1540.84,110.65,131.07,157.91,4616.77,2541.47,4639.98,5324.93,944.98
3/29/2002,109.23,1650.22,114.79,134.98,169.94,4820.36,2680.19,4697.07,5739.56,1003.13
4/30/2002,108.8,1551.74,111.48,118.37,165.82,4597.43,2614.65,4675.16,5537.26,1043.94
5/31/2002,109.02,1483.84,105.77,112.7,164.43,4458.01,2478.54,4529.76,5382.41,1016.84
6/28/2002,99.04,1362.71,95.83,103.85,151.11,4100.48,2364.58,3893.04,4935.37,973.23
7/31/2002,87.77,1146.09,90.04,89.32,136.85,3577.7,2140.95,3511.06,4087.6,888.84
8/30/2002,87.63,1150.71,89.07,88.81,134.29,3519.85,2170.22,3667.59,4172.88,887.6
9/30/2002,81.27,863.84,79.24,73.23,116.09,2957.27,1856.78,3050.46,3403.83,828.48
